filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
28,45.11293,45.11293,43.333767,42.25498,40.611763,0.0006591333473439,0.0013007118723624,0.0020839339462379,0.003454868883025,0.0028309034942135547,0.0023238439157096114,0.0017672552805463315,0.0011134175081982667,0.0005791793359586628,45.11293,,,,
29,18.236677,18.236677,17.488504,17.030033,16.3246,0.0009986724031779,0.001285929480314,0.0020972573486206,0.0035408591611126,0.003212149762601993,0.0026552416685140523,0.0021959169344627494,0.0016838422676483944,0.0009352469788462825,18.236677,,,,
30,6.9383764,6.9383764,6.6162825,6.4319463,6.1526403,0.0011656045833473,0.0019266372016917,0.0023874596295064,0.0036569795108167,0.002352127412934335,0.0017905186265811945,0.001284403461662545,0.0007798530545005677,0.00046086843532355815,6.9383764,,,,
31,2.6270237,2.6270237,2.4965193,2.4194446,2.3030994,0.0014500834263976,0.0027168162331839,0.0025082950183932,0.0040203519689511,0.002427958671353647,0.0019804976795219087,0.0016237552211813,0.0011988764466845936,0.0008501346048654934,2.6270237,,,,
32,0.9751303,0.9751303,0.9188735,0.8876995,0.84126747,0.0034103664221704,0.0044271913872205,0.0048493374431457,0.0047161567027675,0.0032473477710960874,0.003048010878195062,0.002784618427927099,0.0025014881415911794,0.0021554681529681874,0.9751303,,,,
33,0.2902549,0.2902549,0.26963028,0.25874305,0.24299942,0.002995879704897,0.003931291519981,0.0048376739626756,0.0051835642694214,0.005156984176597379,0.004882751108299367,0.004374778824667053,0.0032547551306623124,0.0027928068656272176,0.2902549,,,,
34,0.075268514,0.075268514,0.0677642,0.064513244,0.06000647,0.0044296241760902,0.0033772467276479,0.004332006421458,0.0049585484015364,0.005386577997984143,0.004889080204881102,0.00446873010812196,0.003919445840450564,0.0032285769870546294,0.07005332,0.002851420105448532,0.0041261367117785275,,
35,48.46863,48.46863,46.39482,45.185154,43.375317,0.0005198309511547,0.001083200318085,0.0019022685728084,0.0033001597657537,0.0027434323661413296,0.002146634893027022,0.0016265556755969968,0.0011377732600181545,0.0003991949492722635,48.46863,,,,
36,19.914762,19.914762,18.925962,18.409725,17.635078,0.0004947444546877,0.0011807473005406,0.0020748030435246,0.0035300968980255,0.002525922430001472,0.0019845684343534342,0.001411667141091772,0.0007412423400814383,0.000299629688752745,19.914762,,,,
37,7.3316264,7.3316264,6.9670744,6.76727,6.467032,0.001042729485347,0.0013271764322094,0.0021542916601932,0.0036397205797257,0.002130689969526811,0.0016856547789840803,0.0012510278311268497,0.0008014190418376074,0.0003610421725099844,7.3316264,,,,
38,2.8726125,2.8726125,2.709118,2.6207411,2.4898925,0.0013472916148163,0.0021229677108575,0.002473200951236,0.0042427700595233,0.002473200951236043,0.0021280499540970374,0.0016358297485750128,0.001306874863778007,0.0009052590140507244,2.8726125,,,,
39,1.0814724,1.0814724,1.0030061,0.96550524,0.91081613,0.0023445673650021,0.0028713158524029,0.0040954393405424,0.0051980058897522,0.004856546352317914,0.0044938162070691234,0.004056779170428591,0.003329055349237331,0.001886445430886119,1.0814724,,,,
40,0.34280038,0.34280038,0.3152953,0.30177984,0.28232226,0.0031396160527097,0.004146525849083,0.0046074968578276,0.0062170444204128,0.005988288323526825,0.005629759831288994,0.005038122492372565,0.004247641269173652,0.003139616052709765,,,,,
41,0.080307275,0.080307275,0.07138166,0.06773066,0.06268409,0.0057664819120482,0.003929447650437,0.0036504742836327,0.0048967532163957,0.0053926575529335,0.0049276963158615406,0.004599834424526272,0.00408565185424814,0.0035358263962556036,0.06939398,0.0034564134474353025,0.0036222114356010415,0.003901096996085651,0.005415597093889973
