,total_samples,dataset,subset,transform,orientation,channel,group,kstest_stat_best,kstest_stat_cutoff_0.05,beat_all_priors,github_plot
76,460800.0,agriVision,full,wavelet,diagonal,red,7,0.0018895683777537,0.0006326306686923,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/red/plots/compare_cdf_pdf_layer_7.jpg
77,1843200.0,agriVision,full,wavelet,diagonal,red,8,0.001786025846719,0.0003163243810321,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/red/plots/compare_cdf_pdf_layer_8.jpg
78,7372800.0,agriVision,full,wavelet,diagonal,red,9,0.0036297908146173,0.0001581644516325,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/red/plots/compare_cdf_pdf_layer_9.jpg
79,29491200.0,agriVision,full,wavelet,diagonal,red,10,0.00583411323752,7.908279102599134e-05,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/diagonal/red/plots/compare_cdf_pdf_layer_10.jpg
80,900.0,agriVision,full,wavelet,horizVert,blue,2,0.0139451834110044,0.014296961166644,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/blue/plots/compare_cdf_pdf_layer_2.jpg
81,3600.0,agriVision,full,wavelet,horizVert,blue,3,0.0132249146790043,0.0071531615485336,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/blue/plots/compare_cdf_pdf_layer_3.jpg
82,14400.0,agriVision,full,wavelet,horizVert,blue,4,0.0080246300325597,0.0035777446059643,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/blue/plots/compare_cdf_pdf_layer_4.jpg
83,57600.0,agriVision,full,wavelet,horizVert,blue,5,0.0064389902864488,0.0017891624583277,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/blue/plots/compare_cdf_pdf_layer_5.jpg
84,230400.0,agriVision,full,wavelet,horizVert,blue,6,0.0043900363415807,0.0008946536675937,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/blue/plots/compare_cdf_pdf_layer_6.jpg
85,921600.0,agriVision,full,wavelet,horizVert,blue,7,0.0037169860143119,0.0004473449308468,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/blue/plots/compare_cdf_pdf_layer_7.jpg
86,3686400.0,agriVision,full,wavelet,horizVert,blue,8,0.0026314211453489,0.0002236769881161,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/blue/plots/compare_cdf_pdf_layer_8.jpg
87,14745600.0,agriVision,full,wavelet,horizVert,blue,9,0.0022650145240694,0.000111839624535,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/blue/plots/compare_cdf_pdf_layer_9.jpg
88,58982400.0,agriVision,full,wavelet,horizVert,blue,10,0.004556184514517,5.5920094864633584e-05,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/blue/plots/compare_cdf_pdf_layer_10.jpg
89,900.0,agriVision,full,wavelet,horizVert,gray,2,0.012329051281858,0.014296961166644,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/gray/plots/compare_cdf_pdf_layer_2.jpg
90,3600.0,agriVision,full,wavelet,horizVert,gray,3,0.01106352908674,0.0071531615485336,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/gray/plots/compare_cdf_pdf_layer_3.jpg
91,14400.0,agriVision,full,wavelet,horizVert,gray,4,0.0077608289650989,0.0035777446059643,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/gray/plots/compare_cdf_pdf_layer_4.jpg
92,57600.0,agriVision,full,wavelet,horizVert,gray,5,0.007042922041511,0.0017891624583277,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/gray/plots/compare_cdf_pdf_layer_5.jpg
93,230400.0,agriVision,full,wavelet,horizVert,gray,6,0.0051123216926687,0.0008946536675937,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/gray/plots/compare_cdf_pdf_layer_6.jpg
94,921600.0,agriVision,full,wavelet,horizVert,gray,7,0.0032093032109368,0.0004473449308468,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/gray/plots/compare_cdf_pdf_layer_7.jpg
95,3686400.0,agriVision,full,wavelet,horizVert,gray,8,0.0021904330749262,0.0002236769881161,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/gray/plots/compare_cdf_pdf_layer_8.jpg
96,14745600.0,agriVision,full,wavelet,horizVert,gray,9,0.0037912900359526,0.000111839624535,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/gray/plots/compare_cdf_pdf_layer_9.jpg
97,58982400.0,agriVision,full,wavelet,horizVert,gray,10,0.0049434727111714,5.5920094864633584e-05,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/gray/plots/compare_cdf_pdf_layer_10.jpg
98,900.0,agriVision,full,wavelet,horizVert,green,2,0.0137929671477093,0.014296961166644,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/green/plots/compare_cdf_pdf_layer_2.jpg
99,3600.0,agriVision,full,wavelet,horizVert,green,3,0.008765650918642,0.0071531615485336,1,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/wavelet/horizVert/green/plots/compare_cdf_pdf_layer_3.jpg
