filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,best_augmented_var,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
17,2110.7625,2110.7625,1951.2317,1857.2955,1714.7446,0.008961503431044,0.0073264454785343,0.0092312423806979,0.0096398369097402,0.008877362113568377,2110.7625,0.008603897372186142,0.008194817601564708,0.007966967397247116,0.007326445478534324,0.006731382165709898,0.006661887305507763,,
18,781.5667,781.5667,713.2414,674.3068,615.86206,0.0058756497177619,0.0088826182904732,0.0094164651664281,0.0093829452763259,0.006432224268514197,781.5667,0.006594654023175606,0.006190103701426697,0.006153294067402837,0.005660690798287682,,,,
19,321.70187,321.70187,289.95035,272.05826,245.36401,0.0067710400343412,0.0054854666692647,0.0071073291296768,0.0098294337501343,0.005715301042647385,280.43927,0.005068304740414864,0.004823031982962078,0.0048032741292372005,0.005015236185675898,0.005238557265108079,0.005080732040773528,,
20,159.4351,159.4351,141.23535,130.93979,116.20923,0.00819433473577,0.0119445539228429,0.0145727418002761,0.0117405818082535,0.009428923976230297,141.23535,0.008684790291538382,0.00769689665786083,0.007769368089748485,0.008194334735770026,,,,
21,51052.195,51052.195,47893.63,45932.48,42953.484,0.0067552267238815,0.0083466022047927,0.0094159831398513,0.0071757759508078,0.005712642580062766,47893.63,0.005875726978950946,0.0052360614238949055,0.005483742042927564,0.005617084867626909,,,,
22,18193.469,18193.469,16904.166,16113.608,14933.772,0.0075695270040414,0.009747959438111,0.0121111889708379,0.0093079777933172,0.006947457532667012,18193.469,0.006650998173089784,0.005920295748349194,0.0063667358641074645,0.0056584213306571235,,,,
23,6965.8066,6965.8066,6314.319,5955.3804,5444.6895,0.0067575135889437,0.0087967820442955,0.0086050061200537,0.0103258213336567,0.007396194290372679,6965.8066,0.007239213828590052,0.005991590555909365,0.005914756850039948,0.005703472552291755,,,,
24,2463.0537,2463.0537,2189.194,2046.6929,1848.487,0.0086931244604547,0.0077902841206014,0.0068972896934419,0.0097529273218341,0.008108917775046298,2463.0537,0.008046619947162825,0.007220781162049716,0.0068626904286750445,0.006897289693441944,0.007353198687030396,0.006078168795067687,0.006744879342662394,0.005051487956183043
25,940.5836,940.5836,826.4288,766.67505,684.089,0.0072626787653526,0.0062259584990153,0.0090594360940787,0.0086937043230298,0.006917365324456748,940.5836,0.006555499484632299,0.006023601753559253,0.006091096636601796,0.005546986396208875,0.0047773004674189976,0.004463246621537631,,
26,383.1721,383.1721,328.93344,301.04962,264.25037,0.0065977412400357,0.0085493236174197,0.0067574310455442,0.0085011445471837,0.00478254231865205,301.04962,0.0051516208727634405,0.005247673524428342,0.005320524314587294,0.005365159208496395,,,,
27,166.43944,166.43944,141.26663,128.35474,111.557755,0.0093553866271924,0.0107193062623438,0.0130545786938197,0.0093978915217596,0.008402333031544973,166.43944,0.008774341860952828,0.007446153171270176,0.0077424011601859855,0.006586504881032518,,,,
28,39986.56,39986.56,38068.21,36867.35,34993.215,0.0067304412026437,0.007787323776873,0.0069812036437497,0.008770417469097,0.005788125523600862,39986.56,0.0055588754622662995,0.005594974865061497,0.004968058448098334,0.0047712300714266576,,,,
29,14740.787,14740.787,13888.845,13360.783,12550.218,0.0098557643535316,0.0075161909438793,0.0094473948823945,0.0087114679329949,0.007752298474481112,14740.787,0.007599934390535454,0.0068949061251680765,0.0072118006123778056,0.006941065400239421,0.006809930454179838,0.0055255363820656545,,
30,5437.471,5437.471,5010.2925,4789.032,4458.888,0.0068080126675786,0.0091048929847047,0.010927351504712,0.0120820176042054,0.00816315299694137,,0.007782471455648365,0.0074293385388264355,0.006930404390566081,0.006808012667578689,,,,
31,1979.101,1979.101,1814.5084,1721.6328,1586.7891,0.0102016416845901,0.0088565422971391,0.0109518748507845,0.010840770978721,0.008740012599497804,1979.101,0.009076846142240691,0.008339487912682464,0.009160087186066146,0.008712488866277956,0.007954564966201283,0.0069315562897340754,,
32,751.4492,751.4492,680.0644,642.43463,587.8289,0.0081759696603832,0.0087664793610657,0.0071297025904582,0.0099254590445223,0.008055544145159868,705.3014,0.00746322040142533,0.00777682604322355,0.007270634073693993,0.007129702590458226,0.006670579150293121,0.006048252069180457,0.005739186142322994,0.006071636402122937
33,314.1522,314.1522,278.82187,260.2537,234.26678,0.0050312745199833,0.0050099740747262,0.0066675300251474,0.0094579834422203,0.005989190065499712,314.1522,0.005640101471639181,0.005101756299236374,0.0046527605559979895,0.005009974074726253,0.0045249153185457636,0.004484345551082736,,
34,142.66475,142.66475,123.08576,113.898384,100.84765,0.0134717037828426,0.0104848001421105,0.0109662534348093,0.0151663203792746,0.010922326349411045,129.5373,0.011051621643035248,0.010471340563244835,0.00980806919498356,0.010358412346624324,0.00968735125002372,0.010216991981068957,,
35,45943.43,45943.43,42910.332,41030.64,38219.062,0.0078707430876496,0.0060310797392947,0.0060516361079543,0.0064425852353477,0.004447149577109788,45943.43,0.004276991815102771,0.0036223701205600894,0.0035510205873336975,0.003202029417765262,0.003405697983106304,0.0026678339397679385,,
36,16675.236,16675.236,15321.55,14521.12,13363.678,0.0034090336948562,0.0081457857270216,0.0070282653514538,0.0066800967060096,0.004252812577614007,,0.003885232254942639,0.003976607395468956,0.004425218459303659,0.0034090336948562616,,,,
37,6021.716,6021.716,5415.999,5082.986,4617.715,0.0064109230509243,0.0084878722083727,0.0085072364055894,0.0087192343334891,0.005383723143293939,6021.716,0.005573052414917512,0.005045543999428859,0.005387399550573435,0.004958297781716858,,,,
38,2283.2947,2283.2947,2010.3146,1867.9298,1674.6436,0.0060929418440061,0.0097058809751664,0.0083659820366542,0.0080508213975278,0.006539255160124546,2283.2947,0.0065588064184901596,0.006299590107117559,0.005180436379837783,0.005033494607705746,,,,
39,908.6674,908.6674,785.329,724.4099,639.56476,0.0061852627862477,0.0050435547577757,0.0060921105118872,0.0077425863896607,0.005669958483667248,908.6674,0.005702411122333606,0.004736151335600569,0.004737024791358957,0.003953017778530479,0.004224563878381216,0.0036309732106267756,,
40,356.08856,356.08856,301.43317,274.3735,238.40907,0.0071665427141083,0.0031292553795615,0.0065231707255007,0.0069582351598956,0.004695040744683077,320.53842,0.004502975004900378,0.004014899340662126,0.0036402052825693643,0.0031256710328313453,0.0028502648448729406,0.002946615562351873,,
41,158.14862,158.14862,128.39201,115.11125,98.70351,0.0090562523570047,0.0122382458715448,0.0081850932451056,0.0132530336323972,0.009067299522405842,158.14862,0.009324516007334638,0.008308385430925602,0.009085286521520408,0.008185093245105635,0.007625066057326449,0.007247686794405017,0.00837541319764333,0.006417361783004852
