filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,best_augmented_var,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
10,3532.9695,3532.9695,3288.0964,3136.8022,2915.0898,0.0044400043418066,0.0082440925201575,0.0074916593501251,0.0085975967797081,0.006053512783778747,0.005719368704428074,,0.005806593601731469,0.005393634165371086,0.0044400043418066915,,,,
11,1327.3878,1327.3878,1226.7792,1166.0758,1074.1865,0.0044337244665245,0.0079014014328437,0.0076799301029808,0.0078465595801835,0.005481701944424211,0.004730069365162758,1327.3878,0.004804831788488929,0.004485544329616786,0.0043268466936743355,,,,
12,486.4704,486.4704,441.43488,415.4662,378.36218,0.0069159671333317,0.0105170084318765,0.0098106281138515,0.0080179804788413,0.005498245492736198,0.005498552553315661,458.6915,0.00549889506667306,0.005498089622390068,0.005498724380682274,,,,
13,240.64812,240.64812,214.98895,200.18024,178.68225,0.0095419290653881,0.0095223545405157,0.0095209869514382,0.0095069813949324,0.00949302485290604,0.00949129806206872,200.18024,0.009492085457470045,0.009492894319609313,0.009493726982005124,0.009494586914271075,0.009490143185900801,0.009491150921434599,0.009489214176217398
14,49222.934,49222.934,47342.234,46086.977,44055.945,0.0074820038452971,0.0083708588833891,0.0083708588833891,0.0088661250901479,0.0060287633756164125,0.005471701378508109,49222.934,0.0053524708419025735,0.0051699343919005755,0.00466895176162585,,,,
15,17971.002,17971.002,17102.602,16551.121,15676.603,0.008398135834532,0.0090710687832777,0.0078345285174318,0.0081125953867311,0.0076924749465976106,0.007366174488321331,17440.559,0.0071348169201851525,0.006829035096204139,0.006912196060565146,0.006927798432515564,0.006310951706888113,0.006287760182597246,0.006539848196450149
16,6345.5527,6345.5527,5984.032,5754.5005,5394.3745,0.01083405110424,0.0097444712440818,0.0103698267648962,0.0114595459186179,0.009051567427349694,0.008797353382836492,6345.5527,0.008955375953783595,0.008785624382297574,0.008427932343190392,0.00786157793482356,0.007110644905917618,,
17,2323.7383,2323.7383,2161.0562,2059.1077,1902.5211,0.0131502995695065,0.0113465038928107,0.0104393290676327,0.0115667572156576,0.008422432678325313,0.008475880451392026,2323.7383,0.008229533874151006,0.008225253004584876,0.007471160214567743,0.007709340012117205,0.007189051158432047,0.007002313443353891,0.006857968815782323
18,900.46747,900.46747,823.55725,778.8207,712.7946,0.0088449114893242,0.0084349653988942,0.0104292253809579,0.0106646729747108,0.007450387712942111,0.007028628351878112,900.46747,0.006583300330169406,0.006948014461975793,0.00639716060403786,0.006338425836750788,0.005967214579421731,,
19,343.26465,343.26465,310.5387,291.2368,261.75238,0.0051639397152654,0.0071513640207316,0.006363294774263,0.0090882819362637,0.005339295920399834,0.0053214297681527314,323.0008,0.004372358383305075,0.004284092507669812,0.004948784100231696,,,,
20,171.33374,171.33374,152.8542,142.05898,125.96528,0.0081252403804382,0.0115592310567649,0.0140504758286369,0.0116973925900075,0.00934192389018218,0.008614224188912445,171.33374,0.007537441402714173,0.007601798316194341,0.007509603448172697,,,,
21,59909.387,59909.387,56689.18,54546.797,51206.56,0.0078443288266812,0.0062978918438767,0.0063335881478078,0.0098186066381776,0.005875328790438117,0.00570290508226301,57989.402,0.0058218170705194305,0.005360588734113866,0.004726696931148688,0.004493658776137943,0.004634639136217478,,
22,21362.357,21362.357,19970.9,19046.166,17635.11,0.0080159231734379,0.0099598750276596,0.0122169442962351,0.0081314769552452,0.006728537252117195,0.006329216928162351,21362.357,0.006247686399602603,0.00590850252215025,0.005494771103355112,,,,
23,7615.371,7615.371,7021.8066,6645.6626,6086.459,0.0066584443404468,0.0094358575003307,0.009513730049094,0.0098546024491802,0.007033699546236449,0.007257714830153361,7615.371,0.007537556169797732,0.007379484500912581,0.006418373901618743,,,,
24,2686.8796,2686.8796,2421.3337,2263.511,2041.5891,0.0073917400351743,0.0114670369134816,0.0104858945246094,0.0100547127554015,0.0074860480595130285,0.007284963472716566,2524.3943,0.007296345327477027,0.006861102396353513,0.007021044918607,,,,
25,1004.39294,1004.39294,886.7021,821.33514,729.2906,0.0071681223493264,0.0070047897464131,0.0076402673742044,0.0091555486141545,0.007167133485920685,0.0072440313860402394,886.7021,0.006314614858089818,0.006372965046601564,0.005690639622438459,0.005981748607885251,0.00592980542203847,,
26,411.3971,411.3971,355.63373,326.2119,287.2305,0.0052213982146758,0.0072943636864634,0.0066255846585182,0.0090400567301152,0.0055743766467348035,0.0053097409775661394,411.3971,0.004318606867397028,0.004799082091842322,0.00400130162406831,,,,
27,163.96483,163.96483,136.50159,122.553406,105.5306,0.010528688499953,0.007772216707378,0.0111331160619763,0.0106207885667368,0.007752022776093548,0.007271562853970126,117.35385,0.007307171753711983,0.007429151720617977,0.007306355734033598,0.007439329174647791,0.008289017366582385,,
28,46349.277,46349.277,44326.16,43034.668,40996.88,0.0065830323351143,0.0092719380350804,0.0080156527154289,0.0104533131160992,0.005712416720558111,0.004907918394330801,46349.277,0.005172984447965101,0.004627572227972665,0.004150140541065994,,,,
29,17164.06,17164.06,16255.083,15683.57,14796.015,0.0079581547035351,0.0089518215456043,0.0076585705370564,0.0081074888456966,0.007322550385397364,0.007327934804044867,17164.06,0.007330507041755918,0.007456309382325665,0.007021303395778472,0.006580410258345326,0.007480714890797935,0.006630550285748049,0.005791283509993916
30,5966.472,5966.472,5592.968,5366.459,5018.609,0.0081135472581761,0.0112718811294301,0.0101330781636215,0.0102320276102779,0.00869194103992034,0.007920121695592308,5473.1045,0.008737594351778122,0.008366713512469759,0.008113547258176146,,,,
31,2055.4995,2055.4995,1896.9146,1802.0267,1660.4397,0.0140786497314436,0.0136541151211572,0.0115304069001245,0.0137704506231844,0.010617210033585844,0.01006827768894114,2055.4995,0.009742497320649968,0.009357538809852683,0.00987093911687345,0.009524670878537811,0.008817648908665654,0.008863644769786183,0.008308710297625699
32,839.61536,839.61536,757.1035,713.0312,650.4184,0.0067347742177931,0.009873762981798,0.0112016301552151,0.0103588169425032,0.007514575208312779,0.006934861473590043,839.61536,0.006659025374738947,0.00659963690521078,0.0063481571358432465,,,,
33,343.61234,343.61234,306.50983,286.83572,258.94946,0.0053596382632886,0.0085751464321308,0.0064722347228327,0.0081554302176641,0.006075715739328302,0.005529883891515541,343.61234,0.00542176735067712,0.004902569326590944,0.00438116351577416,,,,
34,155.92847,155.92847,138.5095,128.55435,114.01704,0.0135231917810827,0.0177053454161701,0.0161810876736542,0.0125180850014646,0.012992883766945407,0.012257409154743049,128.55435,0.011783660619619662,0.01288313095709459,0.012518085001464674,0.012132473493267598,0.011723645844026263,0.011195867903456391,0.010481612159558895
35,54964.81,54964.81,51426.98,49263.562,45974.367,0.0068634128159819,0.0039987800517776,0.0044722713209258,0.0053930500930963,0.003553322828037442,0.003120953335040033,54964.81,0.0032298736511116033,0.0026346694456426123,0.0024868169477764157,0.002466137221253162,0.0023071303995761405,,
36,18656.621,18656.621,17314.135,16440.568,15119.879,0.0065789096452957,0.0077087645883016,0.0105866718003233,0.0085786715701843,0.00494146028155934,0.004474366661205431,17314.135,0.004298093453535601,0.004923005013277804,0.005111675085635814,,,,
37,6984.451,6984.451,6267.1772,5872.866,5304.6655,0.011008011537087,0.0078470701902861,0.0064791766027219,0.0086206347475034,0.007034791427595499,0.007365770886498146,6984.451,0.00732333934987528,0.006737634690561989,0.006431408962739749,0.0056413841946444665,0.005579738895067188,0.005896290304143792,0.004905888841108208
