filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,best_augmented_var,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
28,52661.484,52661.484,49958.387,48454.414,46147.633,0.0033568002658474,0.0038455197334035,0.0049040429769899,0.0061553747105331,0.004197460442677117,0.003559121480751992,0.0034478804333822888,52661.484,0.0030667867283153127,0.0019006938162668963,,,,
29,19179.664,19179.664,18000.85,17359.045,16382.307,0.0061243297757465,0.0060149187001734,0.0057763042844533,0.0055072364976199,0.00658591634053439,0.006502844423832532,0.006116648593255114,17359.045,0.005842506042131913,0.005498822983800999,0.005393382721903206,0.005039529285025934,0.005319497344645874,0.004851734920507833
30,7389.1016,7389.1016,6921.9604,6655.964,6248.676,0.0077966263173818,0.0056995299837426,0.0061072265968297,0.00731953338889,0.005560996471121404,0.005605672163263464,0.0056854128775580826,7091.793,0.005699636414262299,0.005454849561321515,0.004768335393300571,0.004912974006976323,,
31,2937.0312,2937.0312,2723.76,2607.42,2432.0195,0.0078723495056863,0.0054788951580885,0.0060162770936517,0.0088978234429639,0.006109199824517519,0.005631340097879134,0.005326384325316069,2937.0312,0.0054106201119079045,0.005478895158088526,0.0053101436687575665,0.0044095841066124075,,
32,1211.6005,1211.6005,1116.7039,1065.6648,990.4289,0.0035142204864395,0.0052713667266461,0.0071290408010521,0.0067891716867093,0.004688224862278163,0.004594150821113148,0.004155637143893776,,0.0035349351152436093,0.0035142204864395676,,,,
33,568.4065,568.4065,522.9556,497.8443,460.58435,0.0076192745422955,0.0104016938738706,0.0093384598550378,0.0091072156680895,0.0049746497938256695,0.0056682553074030514,0.004779392754588052,539.0024,0.004059632473749963,0.0046764317572581815,,,,
34,283.11673,283.11673,261.11346,248.45892,229.65831,0.0144169921394001,0.0109853862339898,0.0117487571000943,0.0134379894727652,0.0109281751029916,0.011079591880166217,0.010959106325176271,283.11673,0.011338863652194608,0.010985386233989869,0.01117780813409297,0.010429954256055751,,
35,58287.34,58287.34,54650.418,52430.1,48985.555,0.003755975298321,0.003219453639552,0.0024184782701031,0.0039173005639183,0.0037151032146387486,0.0033679082807442917,0.003070304681518067,54650.418,0.0026611602730346497,0.0022624894073426383,0.0019385622424419845,0.0015721830215269517,0.002144041345438441,0.0020785293631238044
36,21414.965,21414.965,19876.604,18954.283,17569.24,0.0031479612649835,0.0041257045579164,0.0068238324623735,0.0042952741466154,0.0025992855025951875,0.0024344765408751967,0.0022324358824636348,19876.604,0.0025366487695124285,0.0031025070838084368,,,,
37,8498.877,8498.877,7759.6074,7340.5386,6723.3643,0.0047026561844112,0.0067731506861999,0.0090384466018315,0.0066735096599041,0.0032659567952448842,0.003244878651434524,0.002830476039527907,7759.6074,0.0033568804501739047,0.003471228651415803,,,,
38,3317.6882,3317.6882,2969.7256,2781.3347,2514.3567,0.0049161002631474,0.0073274786549762,0.0042889936241625,0.0071228012979466,0.004318218765847315,0.004977920671566549,0.004099754541135554,2969.7256,0.0036442153419313783,0.003175672306824029,0.0032526250852057403,0.0028859328470359213,0.0032222809713536305,0.0030394760381705632
39,1350.272,1350.272,1212.4866,1138.0061,1033.7396,0.0068048469962276,0.0058499619315413,0.0047369841207154,0.006518183881689,0.004059151223496649,0.003658008719948147,0.0033835512147403213,1350.272,0.0034492466650245523,0.003237377201639302,0.0024995441391905127,0.0018048711692805544,0.0015545474748942523,0.0011701678186266662
40,669.43933,669.43933,597.7852,558.909,505.22192,0.0049088509797488,0.0031917167506147,0.0068772117115565,0.0104449907460142,0.003857296253793774,0.0035328709338241504,0.003849089330359559,669.43933,0.0032158209671981353,0.0025478797330371616,0.002538842039488176,0.0024454489742777863,,
41,272.01816,272.01816,240.01155,223.05078,200.34813,0.0115779450425301,0.0160399553694492,0.0141245557338471,0.0097565908099684,0.010619089185508468,0.010439717784733404,0.010266456837870905,,0.010013844448283682,0.00975659080996849,0.010105739865637675,0.009877968548610339,0.010067864566293272,0.010110122938628896
