filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,best_augmented_var,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
21,72.09461,72.09461,69.60084,68.05514,65.63665,0.0007431062602238,0.0014241736799412,0.0021677382505894,0.0035202174626439,0.0023281319628660757,0.0019036798184415143,0.0014074904198153604,0.000843544912827305,0.0007181731041907558,72.09461,,,,
22,29.068783,29.068783,27.92386,27.225073,26.137596,0.0012492598401331,0.0016648137236245,0.00223188448775,0.0037213611056985,0.0027921266726732563,0.0022662882743628154,0.0016643931589644945,0.0011469368555139248,0.0002805708433307741,29.068783,,,,
23,10.750367,10.750367,10.267588,9.982349,9.543643,0.0016915902361189,0.0018049816978737,0.002772205409859,0.0039743149960752,0.0025301230930681595,0.0021442704001889967,0.0017742855637591093,0.0015532044779910104,0.0011022325961362739,10.750367,,,,
24,4.0061545,4.0061545,3.800049,3.6813812,3.5001745,0.002146468498587,0.003883174751643,0.0042037970136288,0.0049869815751372,0.003235871160121029,0.0029866106597563613,0.0025896820290615685,0.0022300588706792857,0.0019262603212115703,4.0061545,,,,
25,1.3584931,1.3584931,1.2780415,1.2321994,1.1634245,0.0034574838958457,0.0060927139182211,0.0049360696022738,0.006491560714429,0.004541129061721931,0.0040618780382356695,0.003745952589331636,0.003306841757127532,0.0031248222664093106,1.3584931,,,,
26,0.3979732,0.3979732,0.3695696,0.3542722,0.3319553,0.0046281106330702,0.004982189473447,0.0061982893583111,0.0065748977863835,0.005649600369133423,0.005081464755459571,0.005341073261606877,0.0044286236953914315,0.003924313900451455,0.3979732,,,,
27,0.097727224,0.097727224,0.087857194,0.08341569,0.0771558,0.0068078666993391,0.0052848602547772,0.0066116098164998,0.0070293217154851,0.007289752740779254,0.006568547882523049,0.00629336152746994,0.005826645586459928,0.005284860254777285,0.09097958,0.005176674284558369,0.005791152487467199,,
28,62.23569,62.23569,60.12467,58.816013,56.7657,0.0008964033128483,0.0014087110069109,0.0022751554827941,0.0035629748529958,0.00271104772223333,0.0022274931574008117,0.0016973977928042491,0.0010983508164417247,0.0005853795766327385,62.23569,,,,
29,23.713474,23.713474,22.797668,22.255661,21.420103,0.0009426757290337,0.0012099546370385,0.002145732797084,0.0034107436564284,0.0019664134166480253,0.0015800732697281994,0.0011755023443138501,0.0006832317348779322,0.0005443622126611869,23.713474,,,,
30,8.964859,8.964859,8.578282,8.357893,8.017484,0.0010001755850537,0.0020580096000805,0.0022931196525055,0.0036908550519426,0.0022500172520180106,0.0018476491273599072,0.0014430767485870133,0.0009348871084916555,0.0003024636122181401,8.964859,,,,
31,3.118529,3.118529,2.9757988,2.8911946,2.7612224,0.0028699533404538,0.0037486472913146,0.0032051622625121,0.0043464629123424,0.0027048662185954475,0.0024336357586301344,0.0020616257800063487,0.0017953581044641842,0.0013204683974917808,3.118529,,,,
32,1.0793442,1.0793442,1.0234765,0.99088645,0.9412311,0.003719811782472,0.0045001332848549,0.0048726022836936,0.0063590815877065,0.0038856914271237428,0.003869010763887848,0.0036179524559049603,0.0030919767478964078,0.0028999299802705686,1.0793442,,,,
33,0.28677914,0.28677914,0.2677276,0.25714657,0.24158429,0.0045933911338971,0.0056510328062743,0.0064113724570191,0.0062793764581467,0.006003273326363079,0.005443835199544056,0.005496434337456502,0.004796653008311225,0.0037544816684492166,0.28677914,,,,
34,0.06482475,0.06482475,0.058596224,0.05565714,0.051526997,0.0068764500019044,0.005458296196092,0.0056501719936977,0.0063708054547724,0.006313508337528688,0.0060648734265109985,0.005413217410576654,0.004842338648404443,0.004693041985699975,0.058596224,0.005149065902683381,0.006414799006168315,,
35,68.34272,68.34272,66.22205,64.81611,62.579163,0.0004769393859533,0.0014782284746976,0.0021048639353772,0.0034477189093959,0.002595036435602549,0.002117664718074397,0.0016061718747863163,0.0010371866665062068,0.0004205554832459324,68.34272,,,,
36,26.207285,26.207285,25.136547,24.499754,23.533903,0.0013052623309056,0.0009814949451431,0.0018346103342501,0.0033275344968671,0.002547269066627795,0.0021858044159146495,0.0017963068225908228,0.0013852747467081317,0.0009814949451431455,25.546339,0.0005484451943901479,0.0007335068879045503,,
37,9.351094,9.351094,8.906244,8.658491,8.284671,0.0020372331953452,0.0013000538968435,0.00219775279145,0.0036219105034563,0.0028277216958917384,0.0024512179291706,0.0020517191294591175,0.0016641010613768076,0.0012524657554046081,9.351094,0.0007491872632685581,0.0005254212593671093,,
38,3.44238,3.44238,3.2514884,3.1463647,2.9898531,0.0020175671037371,0.0032141423419673,0.0035162638668523,0.0040417225688322,0.002503578169063235,0.0020933936337194092,0.0017260639596686778,0.001400609447026982,0.0008727210744677305,3.44238,,,,
39,1.1672105,1.1672105,1.0907855,1.0507014,0.99116844,0.0043197351568503,0.0031842466813364,0.004997171528967,0.0056190838865437,0.004267656981063128,0.004093298830443848,0.003743674267147834,0.0035895512311870936,0.0031049307239330304,1.1672105,0.0028725697637019265,0.002099833372089202,,
40,0.34554896,0.34554896,0.31903228,0.305369,0.2854409,0.0048543334618242,0.0052260893334428,0.0062831065854019,0.0072468816076636,0.004751132729696628,0.00476059655786986,0.004634245074919718,0.0039742337750033885,0.003959533635957024,0.34554896,,,,
41,0.070881866,0.070881866,0.062295347,0.058715325,0.053797342,0.0075855111081792,0.0060039540841073,0.0047071515602898,0.0056398757680798,0.006023388065192682,0.005752185577047625,0.0051160443167235226,0.004629450402005686,0.004707151560289863,0.05729254,0.005230651566135669,0.006003954084107366,0.006337921303751548,0.007255233552250218
