filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,best_augmented_var,kstest_stat_plus75,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
10,2.3022522831837624,2.3022522831837624,2.0639637143630005,1.9488847810268848,1.7852644527790549,0.0121725261067512,0.0124176734124267,0.0098777700643961,0.0133939290641795,0.010157085876754512,2.0639637143630005,0.010752901576555951,0.01050745196472369,0.01045731037578701,0.009877770064396163,0.009213728752514583,0.008790202534923242,0.008931082584897887,0.009293285285203123
11,1.729031375051011,1.729031375051011,1.523908035740319,1.4340228476958428,1.3064903902783809,0.0090479862044169,0.0115935536509821,0.0107764782557865,0.0136080108125603,0.009605698463810042,1.523908035740319,0.009383351342267865,0.008550941068368678,0.008574432353960548,0.00863014314569216,,,,
12,1.6410960667565826,1.6410960667565826,1.3989235134685014,1.302597175664986,1.1708558155017097,0.0068185559133027,0.0085483437528169,0.0099332790088646,0.0093458128209583,0.009266822946737086,1.6410960667565826,0.007990000132461872,0.00851806084835599,0.007988863643053179,0.005774659311467922,,,,
13,2.4757060457587228,2.4757060457587228,2.137957987305035,1.9961808929293208,1.8002083878216215,0.0098336354649276,0.0122629021838341,0.0122720468323119,0.0122415646351468,0.011916219796101232,2.4757060457587228,0.010782028943654279,0.011058562949042505,0.010945273169253207,0.008352611298233587,,,,
14,2.941162255307592,2.941162255307592,2.598995656265484,2.446054153348437,2.227590320907768,0.014208429099193,0.0113024096648889,0.0135904965508495,0.016917250295129,0.01133473542653407,2.941162255307592,0.010531609790451646,0.011595792647598246,0.01125340459808244,0.010909289147482792,0.009722078163253878,0.009043286735352596,,
15,5.888606960619337,5.888606960619337,5.735451724400408,5.6547922051566415,5.526827302572004,0.0761265739768246,0.0761265781019015,0.0761305857424547,0.0761673028361584,0.0761731233579433,,0.07615667078158106,0.0761435484330143,0.0761314350665171,0.0761265739768246,,,,
16,1.8992383020014745,1.8992383020014745,1.585182226933061,1.4660021747421592,1.309343812673624,0.0078734129321121,0.0094912848854571,0.0107321902720167,0.0090169968774752,0.009153779505693627,1.8992383020014745,0.009057580173232882,0.008545559252889023,0.007197513680024303,0.006628734764046573,,,,
17,4.5331525549883445,4.5331525549883445,4.199239026823984,4.011277087612745,3.717262834960342,0.0194064251004061,0.020486134234219,0.0212640170048636,0.0202467765392193,0.017263711887825363,4.100057778350444,0.01687197287125204,0.017257177475688057,0.016989027284793012,0.01711186841227319,,,,
18,1.521247829429838,1.521247829429838,1.2149886037358637,1.1187583980730114,0.992172669973009,0.0067841470147257,0.0095115897298058,0.0077834129943146,0.0093822225045684,0.008458144511333088,1.521247829429838,0.0069862578262871455,0.007327938397618694,0.007047530201523156,0.006681462390933313,,,,
19,9.498957816825676,9.498957816825676,9.28292900682304,9.15731267044749,8.955404433504665,0.096425280352045,0.0964250990612769,0.0964251748519187,0.0964252391676077,0.0964258034002291,,0.09642539812749173,0.09642543345437349,0.09642541189064235,0.09642509906127694,0.09642529377408215,0.09642562648126995,,
20,5.762972091152496,5.762972091152496,5.2887336976144015,5.041496430078471,4.671855075765759,0.0062672049430357,0.0100670426724576,0.0093679355222041,0.0094741336737973,0.00695538963640796,,0.006782858399229097,0.007034794108499054,0.006408569890004878,0.006267204943035787,,,,
21,17.996762690212257,17.996762690212257,17.50432637554077,17.230142782275834,16.79765854122484,0.0177609505184016,0.0201570418487821,0.0206029219281987,0.0208488500343146,0.021636369898461294,,0.0209684025092447,0.020225988724124733,0.019356585070382293,0.017760950518401653,,,,
22,2.4734028420121468,2.4734028420121468,2.1450455356526588,1.9990762927073955,1.7998939969705705,0.0108374328985998,0.0123638728123725,0.010363942905038,0.0139508541676752,0.010423871947353613,2.248147589619658,0.009678669631369319,0.010579548692261631,0.009710538351270559,0.010007625736801251,0.009099203614593043,0.008943920140604966,0.008156935148324496,0.008366015316540465
23,2.518340542869751,2.518340542869751,2.280097338876818,2.157278437850481,1.9794844885868657,0.0100574228047611,0.0138256326179654,0.0141217265891421,0.0119819144296074,0.010119700473381288,2.361958585307493,0.009993252187518398,0.010144601447027335,0.009375694750068497,0.009697804061888693,,,,
24,2.572177436218618,2.572177436218618,2.2051078552425563,2.036912778542912,1.8060001457392505,0.0072945904682759,0.0091466334920435,0.0108093010353281,0.0097646907097469,0.0094289637788596,2.572177436218618,0.008566579260084306,0.007634951242296295,0.00786134320576326,0.0068660266786297885,,,,
25,2.573772473057773,2.573772473057773,2.1319419911570336,1.964308296723468,1.7418121906274442,0.011509302514752,0.0146150202665326,0.0115405097337075,0.0121794031587175,0.01121646265726943,2.573772473057773,0.01004939533368189,0.00923824790053418,0.008820625301616425,0.007751380875681266,,,,
26,2.8730206328692627,2.8730206328692627,2.643251998111042,2.534385665437761,2.37358113946712,0.0121863503881179,0.0098253479629885,0.0098660795645217,0.0121028706799716,0.010000455052274204,2.8730206328692627,0.009853726759736392,0.009326931212192302,0.009352383313049273,0.009703904031914679,0.009310911710479597,0.0081079218926281,,
27,2.200091160823053,2.200091160823053,1.8302983944071376,1.6874716799660412,1.4971535654390218,0.0138637170699861,0.0158102881566752,0.0142697817363167,0.0136448423220421,0.013649048062724267,1.6874716799660412,0.01289277439020342,0.012128963160974782,0.012682341410005793,0.012803758401072063,0.012284724143037495,0.011717681709035088,0.011088797453698285,0.010596037622469079
