filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,best_augmented_var,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
15,40.983663078548624,40.983663078548624,38.293910681049056,36.99433502769968,35.157793284578936,0.0163410285079771,0.0161778435816871,0.0160710313210038,0.0159943196169944,0.01589107098040754,0.015887314911982087,34.08187902498456,0.015935232693117696,0.01590942788371641,0.01599431961699449,0.015960619046424207,0.016044920242443306,0.016005305252258906,0.016031522391264874
16,56.9681428884678,56.9681428884678,47.57822527290742,44.41031001470188,40.284554069173375,0.0049541985755527,0.0056746614085641,0.0083617453397191,0.0099865966250395,0.009635149779807395,0.008353568339270812,,0.008183421699312632,0.007653373698110921,0.004954198575552793,,,,
17,53.075738172875,53.075738172875,47.91312277914568,45.42236850279344,41.88794741851437,0.0222631117072614,0.0234607354865828,0.0239521209131173,0.0247136307317378,0.01935481729337507,0.01914379585544257,53.075738172875,0.0199384353894681,0.01907264002334197,0.01797239306152143,,,,
18,44.322678443361845,44.322678443361845,36.67477674359165,34.10429252726647,30.80608722174045,0.0082633205594118,0.0081794515648168,0.0101915437731113,0.0084595730180691,0.00755636444358776,0.006884378851521211,38.608310019196686,0.007171254179990982,0.00615601456531728,0.007484130757272944,0.005698500209963819,0.005760599323984317,,
20,33.46226181605903,33.46226181605903,28.146996173335385,26.3512379589517,23.9581002988103,0.0119325683281267,0.0140496355563938,0.0139766828988889,0.0155809343942978,0.011432527278888494,0.010358779899206694,27.16261172293565,0.010975962591031951,0.01070632178092451,0.010471450341287658,,,,
22,16.84434584248119,16.84434584248119,14.804790483778156,13.985523868692836,12.86123104149543,0.0103749963698118,0.0114688098144491,0.012341532410803,0.0103123804926945,0.010299384499422137,0.011001853898753411,13.104313333741704,0.010336437942927934,0.010299985609837692,0.009841401954139073,0.009341147019229501,0.00972413234959768,0.009345868627321674,0.00996968116234237
23,29.395191745986853,29.395191745986853,26.27839142539741,24.92363383590627,23.027425574928504,0.0140209195732036,0.0113328274310565,0.0144228611270797,0.0162441740076083,0.011952133311273316,0.012095247507689089,27.214622068275492,0.01172981408824647,0.011408332018619904,0.011174333581861595,0.01080118797917523,0.010988065838985706,,
24,19.61666404451466,19.61666404451466,16.355217423085808,15.2694046177058,13.813791776876542,0.0080584065433169,0.0094944326474751,0.0093816712799534,0.0111402350894657,0.011754905846905195,0.011642697401709479,19.61666404451466,0.010319928015652513,0.009579304419342294,0.006956325695545829,,,,
25,8.296648013517709,8.296648013517709,7.065442941976558,6.6522566387069695,6.101265865785954,0.0035888060451545,0.0047825612807888,0.0057492116484734,0.0069610504028941,0.005930056531801231,0.005165656891581605,,0.005166068738197388,0.004139034411993717,0.0035888060451545467,,,,
26,39.24263668891069,39.24263668891069,34.94919705716338,33.10830886934289,30.559027882936995,0.0215467645342376,0.0212579223294816,0.0211813248711801,0.02145139117023,0.020899208870610808,0.020924722590744183,30.559027882936995,0.021052173003958397,0.02099248880941945,0.020939400268325525,0.02090580754252791,0.021133149529326267,0.020901713553751422,0.020919529031886652
