filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05
23,31.440153510876385,21.73230206423625,62.0153412980368,31.6849669297646,6.400519499879907,254.5584973055664,480000000.0,single_edge,0.011157272841070043,0.5,-1.1,19.56902718529443,50.0,28.179399146823975,6.198809110762993e-05
24,21.173402754686595,13.551118751567618,88.09374765291277,212.3095978643873,7.920719085859245,600.4919996532997,480000000.0,single_edge,0.0083461265591529,0.1,0.6,1.9420267181391677e-13,0.0,21.173402754686595,6.198809110762993e-05
25,9.03464644015979,5.765562683447828,37.2075824466312,212.50923297048507,6.0121680990104,614.7023264948475,480000000.0,multi_edge,0.0038496136515406287,0.2,0.1,7.951561112658635e-05,50.0,7.557163681470767,6.198809110762993e-05
26,43.14164174756185,31.47304931299793,81.47908780958619,29.624903666689512,5.992824891000535,238.4531140185108,480000000.0,dual_color,0.023647562452535853,0.3,-0.7,0.4237842151460798,200.0,33.799637316055396,6.198809110762993e-05
27,10.058828841830875,5.421984429320597,94.50466843332153,1427.5507878429655,7.093178461553281,846.0553211708931,480000000.0,multi_edge,0.0038681140952685836,0.2,0.0,9.332603570682491e-05,100.0,6.82486008027471,6.198809110762993e-05
28,29.010986266093816,19.03809149386276,108.65782153707065,122.90436993871906,7.573222152442264,436.0618504436649,480000000.0,single_edge,0.009381555167221833,0.3,-0.8,0.40352751794295116,100.0,23.267721173334316,6.198809110762993e-05
29,20.822995669521006,13.808396620353896,48.73208894409049,47.80006746090991,8.00596179900825,268.5106684180456,480000000.0,single_edge,0.038880532975393456,0.2,-0.3,0.0005179527966984523,200.0,15.662892572161223,6.198809110762993e-05
30,19.45063610611612,11.978844499888863,79.73836454875443,160.1219992536287,8.820242871081362,552.6302496769829,480000000.0,single_edge,0.007095288006096212,0.2,-0.5,0.0010712444048781205,50.0,16.19721540175718,6.198809110762993e-05
31,45.65640394191919,32.45554369899387,80.62941184094326,25.02848603447092,4.759065109211691,193.79744331978628,480000000.0,eye,0.062265697932857744,0.1,1.5,1.793769557914265e-14,50.0,41.38213621796571,6.198809110762993e-05
32,29.96869369135145,19.665261433206087,74.52916234938002,51.00324729106481,7.20875307848168,377.97976116152313,480000000.0,single_edge,0.016907679289835886,0.4,-1.0,4.670432930283752,200.0,22.790395266332215,6.198809110762993e-05
33,16.6375472743384,10.065270333967788,59.30817536690576,158.38510003912322,7.709445816278299,578.378824238407,480000000.0,multi_edge,0.0039032108091167084,0.1,1.3,1.0889797286921197e-14,50.0,13.764925895491668,6.198809110762993e-05
34,25.921622107634946,16.331902074366702,100.43370342873388,123.49758696307993,7.659585126316709,496.5483443099145,480000000.0,single_edge,0.00930736784131836,0.2,-0.6,0.0025275131631376153,0.0,25.921622107634946,6.198809110762993e-05
38,71.52992193914459,47.99331645827993,127.93212759720237,32.99954588274924,7.523353514632873,241.57425095933752,480000000.0,dual_color,0.021185982509328516,0.3,-0.9,1.4850143290489646,100.0,59.59207441516093,6.198809110762993e-05
39,52.075115655613104,36.45186347698336,97.09869238483915,28.108864020292646,5.246403247990566,249.5669058869031,480000000.0,eye,0.06648374958929809,0.4,-0.4,2.035255282169323,100.0,44.55758957698359,6.198809110762993e-05
40,42.19076863086766,32.94703709524399,56.02133613365323,9.457331198852977,2.8140974410225144,64.46368986520972,480000000.0,inside_out,0.015134287664307355,0.1,5.4,7.952015565654807e-18,200.0,36.31031033953092,6.198809110762993e-05
41,29.529004168366832,17.95649997055392,89.07756011803696,107.21651665174888,8.918759559310445,467.2129114888881,480000000.0,multi_edge,0.005221237218037356,0.1,0.6,2.708403354879652e-13,0.0,29.529004168366832,6.198809110762993e-05
42,79.81629048453834,52.84171820133131,160.56242854739733,39.62573606862097,8.579667972047003,290.3528063088634,480000000.0,dual_color,0.013569272745366123,0.3,-1.0,3.002240855655058,0.0,79.81629048453834,6.198809110762993e-05
43,28.662572335018726,19.639213481503763,65.38037959020397,48.46274742061898,6.720216375455832,331.80310825949283,480000000.0,single_edge,0.01845581936978502,0.5,-1.1,15.257919221438323,200.0,21.97140367887118,6.198809110762993e-05
44,59.93764812799737,39.28336367821972,148.3890087651137,62.75708809563206,8.739342342219446,417.1271829004348,480000000.0,dual_color,0.020081368189599047,0.2,-0.7,0.008919292876190085,0.0,59.93764812799737,6.198809110762993e-05
45,38.247326316433096,26.47434673664644,80.69726235415365,37.1332143360124,6.125220477640338,290.57625054793823,480000000.0,eye,0.029691183801897947,0.2,-0.4,0.0015702361803930406,50.0,33.99733075133163,6.198809110762993e-05
46,25.53210717746388,18.215948836072297,40.33700287005261,17.400956682330442,4.460901348873859,133.43131126046887,480000000.0,eye,0.04449053108170781,0.9,-0.8,29.093576237114753,50.0,23.418767947234596,6.198809110762993e-05
