filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05,param_gaussian,kstest_stat_gaussian,kstest_pval_gaussian,param_laplace,kstest_stat_laplace,kstest_pval_laplace,param_t,kstest_stat_t,kstest_pval_t,kstest_pval_gengamma
32,29.96869369135145,19.665261433206087,74.52916234938002,51.00324729106481,7.20875307848168,377.97976116152313,480000000.0,single_edge,0.0169076792898358,0.4,-1.0,4.670432930283752,200.0,24.286107592174705,6.198809110762993e-05,0.0148998921628836,0.4,-1.02,5.346585143436133,125.0,8239,2.07381,0.0821771,0.0,1.75111,0.058146,0.0,1.3808,0.0609547,0.0,0.0
33,16.6375472743384,10.065270333967788,59.30817536690576,158.38510003912322,7.709445816278299,578.378824238407,480000000.0,multi_edge,0.0039032108091167,0.1,1.3,1.0889797286921196e-14,50.0,14.45701966063472,6.198809110762993e-05,0.0037593669629546,0.1,1.2,1.5673379500612385e-14,25.0,131835,1.85205,0.0551345,0.0,1.63465,0.0282275,0.0,1.29616,0.0265236,0.0,0.0
34,25.921622107634946,16.331902074366702,100.43370342873388,123.49758696307993,7.659585126316709,496.5483443099145,480000000.0,single_edge,0.0093073678413183,0.2,-0.6,0.0025275131631376,0.0,25.921622107634946,6.198809110762993e-05,0.0064228416879576,0.23,-0.7,0.023647532700269,0.0,43944,2.0015,0.0724196,0.0,1.74534,0.0457323,0.0,1.37191,0.0461694,0.0,0.0
38,71.52992193914459,47.99331645827993,127.93212759720237,32.99954588274924,7.523353514632873,241.57425095933752,480000000.0,dual_color,0.0211859825093285,0.3,-0.9,1.4850143290489646,100.0,56.72966829454784,6.198809110762993e-05,0.0210496355242269,0.3,-0.89,1.3606419692948128,150.0,4119,3.25463,0.0769226,0.0,2.68919,0.0552357,0.0,2.11782,0.0582104,0.0,0.0
39,52.075115655613104,36.45186347698336,97.09869238483915,28.108864020292646,5.246403247990566,249.5669058869031,480000000.0,eye,0.066483749589298,0.4,-0.4,2.035255282169323,100.0,43.58959731859296,6.198809110762993e-05,0.0664837151652059,0.6,-0.62,17.008415143092925,125.0,432,3.36762,0.0692364,0.0,3.24316,0.0664837,0.0,2.29369,0.0664837,0.0,0.0
40,42.19076863086766,32.94703709524399,56.02133613365323,9.457331198852977,2.8140974410225144,64.46368986520972,480000000.0,inside_out,0.0151342876643073,0.1,5.4,7.952015565654807e-18,200.0,35.560949147930685,6.198809110762993e-05,0.0150804155167145,0.1,5.6,5.951831907084178e-18,250.0,8239,4.48885,0.0417654,0.0,4.00375,0.0164673,0.0,3.262,0.0164869,0.0,0.0
41,29.529004168366832,17.95649997055392,89.07756011803696,107.21651665174888,8.918759559310445,467.2129114888881,480000000.0,multi_edge,0.0052212372180373,0.1,0.6,2.708403354879653e-13,0.0,25.77886933514996,6.198809110762993e-05,0.0048277324151979,0.11,0.5,1.5644704052973598e-11,25.0,83424,2.15176,0.0629328,0.0,1.89776,0.0360734,0.0,1.49727,0.0345961,0.0,0.0
42,79.81629048453834,52.84171820133131,160.56242854739733,39.62573606862097,8.579667972047003,290.3528063088634,480000000.0,dual_color,0.0135692727453661,0.3,-1.0,3.002240855655058,0.0,79.81629048453834,6.198809110762993e-05,0.0123835394726214,0.24,-0.9,0.2727339151770482,0.0,12358,2.93616,0.0829719,0.0,2.48639,0.0591614,0.0,1.93032,0.0608663,0.0,0.0
43,28.662572335018726,19.639213481503763,65.38037959020397,48.46274742061898,6.720216375455832,331.80310825949283,480000000.0,single_edge,0.018455819369785,0.5,-1.1,15.257919221438325,200.0,21.577371860581305,6.198809110762993e-05,0.0162342848511092,0.6,-1.14,28.08927118575544,225.0,7324,2.00959,0.085767,0.0,1.66751,0.0636517,0.0,1.3199,0.0669251,0.0,0.0
44,59.93764812799737,39.28336367821972,148.3890087651137,62.75708809563206,8.739342342219446,417.1271829004348,480000000.0,dual_color,0.020081368189599,0.2,-0.7,0.00891929287619,0.0,48.53548848999029,6.198809110762993e-05,0.0190022215564825,0.2,-0.63,0.0053514173967466,100.0,5211,2.76614,0.0773001,0.0,2.32586,0.0540092,0.0,1.81237,0.0562534,0.0,0.0
45,38.247326316433096,26.47434673664644,80.69726235415365,37.1332143360124,6.125220477640338,290.57625054793823,480000000.0,eye,0.0296911838018979,0.2,-0.4,0.001570236180393,50.0,32.10338023168654,6.198809110762993e-05,0.02967764153111,0.26,-0.6,0.0792697948546551,100.0,2059,2.60266,0.0735342,0.0,2.2547,0.0470371,0.0,1.7677,0.0493221,0.0,0.0
46,25.53210717746388,18.215948836072297,40.33700287005261,17.400956682330442,4.460901348873859,133.43131126046887,480000000.0,eye,0.0444905310817078,0.9,-0.8,29.09357623711476,50.0,21.561176943892296,6.198809110762993e-05,0.0443363715881148,0.74,-0.7,16.297203813466666,150.0,915,2.76733,0.0603261,0.0,2.48485,0.0445124,0.0,1.86959,0.0450564,0.0,0.0
47,48.59367493207999,35.78845827588697,81.6087452478566,20.281405128542065,5.844362858856044,164.62063382543533,480000000.0,dual_color,0.0139733572469505,1.5,-1.2,165.8528300257718,200.0,39.63314787522847,6.198809110762993e-05,0.0134857969748816,1.2,-1.19,145.37778095252065,200.0,10426,2.92468,0.0787491,0.0,2.40167,0.0577193,0.0,1.89001,0.0606527,0.0,0.0
48,19.873367008314258,12.545296656205526,49.22546696560987,70.65176464153036,8.481634894243893,372.2474982610199,480000000.0,single_edge,0.012477591650951,0.1,0.7,1.0616830391656664e-13,50.0,19.873367008314258,6.198809110762993e-05,0.0114543257541358,0.08,1.1,3.463956819795435e-19,0.0,14648,1.73687,0.0702147,0.0,1.51594,0.0435508,0.0,1.19147,0.0438692,0.0,0.0
49,76.5977280890017,47.23433953096735,147.91578404664943,43.55797370777443,9.775627562256265,275.6789589149903,480000000.0,single_edge,0.0166374821331776,0.2,-0.9,0.0303959238448419,0.0,76.5977280890017,6.198809110762993e-05,0.0130239124882192,0.25,-1.0,0.6383144007416809,0.0,10986,2.41157,0.0924653,0.0,2.07006,0.0682382,0.0,1.58494,0.0683249,0.0,0.0
50,59.35954275709163,39.22788534366078,121.04993830668386,42.38336865592304,7.487004875042869,293.24877187193385,480000000.0,single_edge,0.020681861942695,0.3,-0.9,1.1208977094396404,200.0,48.00643519525904,6.198809110762993e-05,0.0193717299545772,0.3,-0.91,1.2435460363929582,125.0,4944,2.80515,0.0824405,0.0,2.35007,0.0593406,0.0,1.84132,0.061904,0.0,0.0
52,40.77780556945682,30.768168211266456,59.10623919018501,11.680814017387398,2.9092425064479004,77.95810257114617,480000000.0,inside_out,0.017379144480191,0.1,5.5,6.627020776316632e-18,200.0,33.19665370089988,6.198809110762993e-05,0.0171999614951335,0.1,5.9,3.761043555119524e-18,300.0,6178,4.31527,0.0407163,0.0,3.94654,0.0194451,0.0,3.1769,0.0165857,0.0,0.0
54,6.529077828183722,4.004236111723004,30.88423106737181,338.0587266219173,6.09205414264988,677.7809121040839,480000000.0,multi_edge,0.0042391121270955,0.2,0.2,4.3378515534838544e-05,50.0,5.107812507842511,6.198809110762993e-05,0.0035123509058877,0.16,0.7,1.367173113831016e-07,75.0,148314,1.32439,0.0486276,0.0,1.16592,0.0213927,0.0,0.933866,0.0206463,0.0,0.0
55,31.917315459019385,19.596946728331066,100.408860379868,97.38605160516104,8.660193463832185,477.4817278536723,480000000.0,single_edge,0.0078439245827376,0.2,-0.6,0.0031121291182979,0.0,31.917315459019385,6.198809110762993e-05,0.0063728537888603,0.2,-0.58,0.0028722650801973,0.0,43944,2.15909,0.0702908,0.0,1.88492,0.0434581,0.0,1.48539,0.043846,0.0,0.0
56,65.71891184267646,44.36865980115986,115.32036414447828,30.42756070682144,8.123272092308445,196.01142667939047,480000000.0,dual_color,0.0150614950108202,0.4,-1.1,16.621309806092803,100.0,65.71891184267646,6.198809110762993e-05,0.0144355179295713,0.3,-1.03,2.8306823492332547,0.0,9268,2.66359,0.0888868,0.0,2.24254,0.0653954,0.0,1.74638,0.0674345,0.0,0.0
57,49.04221990353983,32.68479071413919,114.9162278817047,53.447310727969615,7.788758241843912,334.86247898801605,480000000.0,single_edge,0.0115123926171066,0.3,-0.9,1.0663588211204982,50.0,49.04221990353983,6.198809110762993e-05,0.0106306260566056,0.24,-0.8,0.108010048941874,0.0,16479,2.5778,0.0791264,0.0,2.214,0.0536823,0.0,1.73305,0.0552444,0.0,0.0
58,22.23282569748327,17.832569954825978,32.850754100427224,11.668046730493405,2.437682314147747,111.60120328276926,480000000.0,inside_out,0.0286590741773092,0.2,6.6,1.3769121949217184e-07,200.0,18.267054822653,6.198809110762993e-05,0.0283682849246108,0.22,6.8,1.0126197913879048e-06,300.0,2316,3.61589,0.0281403,0.0,3.60073,0.0368449,0.0,3.01029,0.029919,0.0,0.0
59,79.85097503697276,57.78137292077354,136.53037720408298,22.54095511009988,5.705027703286022,181.03372522791537,480000000.0,dual_color,0.0139491312619509,2.1,-1.2,289.8394059826913,200.0,60.23810214951547,6.198809110762993e-05,0.0137041380139971,1.7,-1.19,254.31800946831933,300.0,9895,3.80412,0.0761494,0.0,3.1139,0.0555171,0.0,2.46548,0.058739,0.0,0.0
60,5.2418330279673535,3.5662197412588363,14.920229780018808,71.48184012645345,5.239636824651275,452.5945076459492,480000000.0,misc,0.0104101933210729,0.1,3.5,1.7562775185275945e-17,200.0,4.236631501781719,6.198809110762993e-05,0.0104068617530811,0.1,3.3,2.703613759607999e-17,125.0,16479,1.33345,0.0427886,0.0,1.17686,0.0163895,0.0,0.930776,0.0152488,0.0,0.0
61,20.29031987597485,13.62848816624935,46.02772506659476,42.00424738642796,7.354010567085544,280.3402294158333,480000000.0,misc,0.0117193848750548,0.3,-0.8,0.2916754667662184,100.0,17.860867392365737,6.198809110762993e-05,0.0105280355816885,0.29,-0.8,0.2356568317510418,50.0,16479,1.84368,0.0736808,0.0,1.59373,0.0474648,0.0,1.25082,0.049451,0.0,0.0
62,60.90431571509468,42.728164267765045,98.38631351681308,22.328586262037938,6.749926686062324,158.2711436941361,480000000.0,misc,0.0346141214849933,0.2,-0.7,0.0082261174165405,50.0,57.18263627518128,6.198809110762993e-05,0.034600477440744,0.2,-0.7,0.0085093208742829,25.0,1543,2.67025,0.0904935,0.0,2.23638,0.067596,0.0,1.73382,0.0695589,0.0,0.0
63,15.903836474724766,9.932449626700643,55.65081902945397,146.43677537582204,7.005414801380283,523.8685437135971,480000000.0,multi_edge,0.0037645868661613,0.1,1.7,3.234142691546764e-15,50.0,12.657301628718052,6.198809110762993e-05,0.0030039542066929,0.11,1.5,3.29586321362322e-13,75.0,197752,1.98089,0.049251,0.0,1.74742,0.0224331,0.0,1.39413,0.0204469,0.0,0.0
