filter_idx,obs_var,var_lower,var_upper,obs_kurt,kurt_lower,kurt_upper,total_samples,filter_group,kstest_stat_initial,initial_r,initial_eta,initial_scale,initial_exclude_cutoff,best_augmented_var,kstest_stat_cutoff_0.05,kstest_stat_best,best_r,best_eta,best_scale,best_exclude_cutoff,n_pval_0.05
10,3.462142868504575,2.470429008084699,12.529196006478374,89.65104399335002,5.638562968884803,462.6155580554132,196608000.0,single_edge,0.0077626995838796,0.4,-1.0,0.709496516995385,0.0,3.462142868504575,9.685608715247527e-05,0.005083313058859951,0.42,-1.0,0.885783538081876,0.0,72000
11,2.6180513327338337,1.6877655684386623,10.36088184457153,120.15038228442292,7.27666690066439,564.9414062324048,196608000.0,single_edge,0.0120357140398212,0.3,-0.8,0.0395004926867126,50.0,2.365467397137108,9.685608715247527e-05,0.010199821655227148,0.2,-0.48,0.00014528881967831801,25.0,18000
12,2.6971958642966394,1.7589249118819847,5.5391967858972775,76.56727399097524,7.414466221716773,424.8460498752834,196608000.0,single_edge,0.0133200258427542,0.2,-0.5,0.0001549900074475,50.0,2.2688526652737857,9.685608715247527e-05,0.013303671822772756,0.2,-0.49,0.0001445859075169478,75.0,10125
13,3.838628539685919,2.7473814598146804,10.03620881261273,56.07823156851816,6.264470378672028,382.8378606954895,196608000.0,single_edge,0.0115095562523326,0.4,-1.0,0.7866496798044086,0.0,3.838628539685919,9.685608715247527e-05,0.008787817545728882,0.3,-0.85,0.0793748135888675,0.0,24000
14,4.181247032003472,2.9102259991752333,10.280352620086823,43.92748747941884,6.899969166067637,355.7068390660506,196608000.0,single_edge,0.0075610538420263,0.4,-1.0,0.7718839284711477,50.0,4.181247032003472,9.685608715247527e-05,0.007096414664188533,0.3,-0.89,0.1002858004773504,0.0,36000
15,5.5225500059617545,4.779395631467345,7.346589966054213,3.295874817489463,0.239488913694926,65.45854676512423,196608000.0,inside_out,0.0232374225972608,0.4,18.0,0.0002977638621832,200.0,5.132016497091577,9.685608715247527e-05,0.0232374225972608,0.4,18.0,0.0002977638621832,200.0,3375
16,3.5985721945619096,2.4499135529909988,8.911765415979813,62.24188195863826,6.256734092127162,383.35017502157575,196608000.0,multi_edge,0.0130003347700966,0.3,-0.9,0.089675201366745,0.0,3.5985721945619096,9.685608715247527e-05,0.011328195237075733,0.26,-0.8,0.017909910393559415,0.0,15187
17,5.323275559639544,3.81723571351689,7.758093851135281,15.919086090197167,6.971006553277084,107.5137753769577,196608000.0,dual_color,0.0187206407835573,0.2,-0.7,0.0007921541011368,0.0,5.088053985140163,9.685608715247527e-05,0.01771234704063407,0.2,-0.66,0.0006364452334505588,25.0,6000
18,2.7741612915174576,1.72619444458648,8.373771685023216,102.2208026930682,7.984831849226575,491.19774852983215,196608000.0,multi_edge,0.0080743960946138,0.3,-0.9,0.0588223509631355,50.0,2.7741612915174576,9.685608715247527e-05,0.006418423211610347,0.3,-0.94,0.08096294382908185,0.0,45562
19,8.659423679035976,7.509933417524635,10.8316725247361,2.506245667646044,0.4508022096994589,47.03236793466893,196608000.0,inside_out,0.0091195507137693,9.9,-0.7,20.247121558423878,0.0,8.659423679035976,9.685608715247527e-05,0.0091195507137693,9.9,-0.7,20.247121558423878,0.0,22780
20,6.255223206781173,4.407617662505595,12.96813864578931,33.37344961938625,7.023644165561423,279.48722288590056,196608000.0,dual_color,0.0070966983867242,0.3,-0.8,0.1084831073918975,0.0,6.255223206781173,9.685608715247527e-05,0.005473180968228297,0.23,-0.6,0.0039327003799397445,0.0,60750
21,16.531827341102726,13.9703275756585,23.61049958131585,3.608198434386641,0.5397488397282083,92.62893834266706,196608000.0,eye,0.0234437552086342,3.7,-0.8,41.75836092606417,0.0,16.531827341102726,9.685608715247527e-05,0.0234160452032367,4.0,-0.81,42.3037181014104,0.0,3375
22,3.972934173216012,2.717913952546242,7.901821185769466,34.6004757471791,6.607510134063041,264.6852333029456,196608000.0,multi_edge,0.0068599602031992,0.4,-1.0,0.7303490553281746,50.0,3.563897373494704,9.685608715247527e-05,0.0068599602031992,0.4,-1.0,0.7303490553281746,50.0,40500
23,3.1141481428458326,2.2874569583299387,6.376167669229518,30.14132753875319,6.904520823825905,266.06828707159934,196608000.0,single_edge,0.0095848959379023,0.3,-0.9,0.0776035179223554,0.0,3.1141481428458326,9.685608715247527e-05,0.007147917824195285,0.3,-0.92,0.0838956889856924,0.0,36000
24,3.685501188990068,2.349490444833445,9.153794819229446,58.97626102209641,8.734770409653182,388.2381683946669,196608000.0,single_edge,0.0142384841614177,0.2,-0.7,0.000548437676933,0.0,3.09978806972137,9.685608715247527e-05,0.013454978491239444,0.19,-0.6,0.00013900919241115355,75.0,10125
25,4.6263123091597125,3.1604034420464795,10.116708288135635,41.824637750245714,7.660851378860503,271.8789023355853,196608000.0,multi_edge,0.0101017398147522,0.4,-1.1,1.392062514702228,0.0,4.105748624815793,9.685608715247527e-05,0.009219361531517034,0.4,-1.08,1.1376820208091603,50.0,22780
26,3.5725534075762995,2.687181965268974,6.423842542588534,24.526772572301173,4.454431775379439,220.29759085307128,196608000.0,dual_color,0.0108165407293756,0.3,-0.6,0.0333850582498378,0.0,3.5725534075762995,9.685608715247527e-05,0.01062062531276231,0.34,-0.7,0.11413060554516467,0.0,17085
27,3.248680336930291,2.093015836458102,9.046714154634444,78.20847215682309,8.394923808604302,460.7419313507249,196608000.0,multi_edge,0.0130852079975077,0.4,-1.1,0.7882780744889994,100.0,3.248680336930291,9.685608715247527e-05,0.009514845294677693,0.3,-1.04,0.1466028908854245,0.0,20250
28,3.8401503764735256,2.57033932721635,7.392449696548315,39.179900904192735,8.264392836079248,253.43263723473035,196608000.0,single_edge,0.0100610021821138,0.2,-0.7,0.0005714509488799,0.0,3.8401503764735256,9.685608715247527e-05,0.00941493513678926,0.18,-0.6,7.154683604467186e-05,0.0,20250
29,2.202851354356995,1.4270635821121074,7.020591455254303,75.83453649671507,7.73013455786924,491.24927473645545,196608000.0,single_edge,0.0110043834283513,0.1,0.9,5.802473183705534e-15,50.0,1.8908558532969857,9.685608715247527e-05,0.010979366179620392,0.1,0.9,5.629465524139172e-15,75.0,15187
30,2.9488841180113803,1.8658420077377824,6.716921166927303,54.67394820027896,8.794751850973194,353.1231142534725,196608000.0,single_edge,0.0119663272916432,0.2,-0.7,0.0004388220413707,0.0,2.5629712438928087,9.685608715247527e-05,0.011332196028751684,0.2,-0.65,0.00030727238232762115,50.0,15187
31,4.099056218699054,3.102064459363276,8.254739466914412,21.62516210099622,3.2006051189774207,254.49138666824405,196608000.0,eye,0.0159563485024286,0.1,3.0,4.3033437857224466e-17,100.0,3.6883448295236145,9.685608715247527e-05,0.015810811201166952,0.1,3.1,3.475062878324506e-17,125.0,7593
32,3.090311788851768,2.154921843347975,10.599466807773387,83.21660508073425,6.451966692951128,469.6701523994776,196608000.0,single_edge,0.0074249978926999,0.4,-1.0,0.5653553526161478,50.0,3.0903117888517677,9.685608715247527e-05,0.005379573158396933,0.37,-1.0,0.42861673288500357,0.0,60750
33,2.6272934065461526,1.703316809932654,8.027046404126967,97.90140124676554,7.746738990406982,460.8616813444301,196608000.0,multi_edge,0.0095907867295321,0.5,-1.1,1.4659171400145303,100.0,2.6272934065461526,9.685608715247527e-05,0.00673846580036247,0.3,-0.97,0.08681456593751594,0.0,40500
34,3.0948968326877977,2.0019661763331498,7.512394173401846,53.802338956257934,8.83019326680754,393.8946586052066,196608000.0,single_edge,0.010138871789183,0.3,-0.9,0.0574262419287487,200.0,2.5413172523653977,9.685608715247527e-05,0.008968944304124205,0.28,-0.9,0.03658604939759486,100.0,24000
35,13.555761693055832,11.38944936102249,17.60759471466391,3.138344268976698,0.9542765888168412,51.28857552917793,196608000.0,inside_out,0.0181140219555293,2.7,-0.8,33.190754520098615,0.0,13.555761693055832,9.685608715247527e-05,0.0181140219555293,2.7,-0.8,33.190754520098615,0.0,5694
36,7.045793526304776,6.085630780563225,8.769858507037211,2.8716589872750324,0.1472528930572443,76.4662105905718,196608000.0,misc,0.0227680057933498,9.7,9.5,6.954107595480243,100.0,6.736651758274691,9.685608715247527e-05,0.0227680057933498,9.7,9.5,6.954107595480243,100.0,3375
37,15.03236829916976,12.609546897218973,20.233820718400004,4.262130287637859,0.6060231652900223,96.5254166878181,196608000.0,eye,0.020734741651642,6.1,-0.8,38.31528797464219,0.0,15.03236829916976,9.685608715247527e-05,0.020734741651642,6.1,-0.8,38.31528797464219,0.0,4500
38,6.45363780868692,4.74819817835309,13.725120704251234,30.436700382541023,5.391237637899141,312.006343434625,196608000.0,dual_color,0.0082757705033602,0.3,-0.7,0.0809165438083652,0.0,6.45363780868692,9.685608715247527e-05,0.0082757705033602,0.3,-0.7,0.0809165438083652,0.0,27000
39,4.701398204281019,3.653130904321404,10.118966009933583,30.35177592394596,3.261852472626258,296.6689243799526,196608000.0,eye,0.0122983249524094,0.1,3.1,4.1251411369395217e-17,50.0,4.37832163509568,9.685608715247527e-05,0.011991197955601662,0.11,2.7,7.42586344353292e-15,50.0,13500
40,5.587258246788043,4.843969794706623,7.238525397266566,2.381782070332644,0.0800137563343532,50.48781507394685,196608000.0,inside_out,0.0224822951394286,7.9,-0.1,9.873336983907278,0.0,5.587258246788043,9.685608715247527e-05,0.0224822951394286,7.9,-0.1,9.873336983907278,0.0,3796
41,3.029949420860551,2.038784792160235,9.18490812268432,86.7514531643576,7.85694544192777,465.1528169770649,196608000.0,multi_edge,0.0097330176172515,0.3,-0.9,0.0650909893173645,50.0,3.029949420860551,9.685608715247527e-05,0.009032229708654804,0.24,-0.8,0.006673127478369497,0.0,22780
42,7.436512547613707,4.967758487011362,14.682496552386288,39.28025469374737,8.789103030590972,299.29906070015664,196608000.0,dual_color,0.0071488961448069,0.2,-0.5,0.0004171612251779,100.0,7.436512547613707,9.685608715247527e-05,0.006307576144118976,0.17,-0.4,2.137094161136533e-05,0.0,48000
43,2.737895469808474,1.9088249490636948,5.982747685141998,34.89013129797038,5.747127585201152,332.55197496748065,196608000.0,single_edge,0.0077558354926161,0.4,-1.0,0.5610765856596794,0.0,2.737895469808474,9.685608715247527e-05,0.006466011911159808,0.4,-0.98,0.52345329466,0.0,45562
44,6.503209747236171,4.386340521461019,14.7793593766828,47.2197673870431,7.781529541246751,344.10656126077924,196608000.0,dual_color,0.0148657095923467,0.1,0.8,2.3659049762464983e-14,100.0,5.41142554377648,9.685608715247527e-05,0.014511355246021151,0.1,0.8,2.3115672493573033e-14,125.0,9000
45,3.317265195111866,2.424571111087233,8.224332415624566,50.34445317217075,4.704594241212722,347.2086848221184,196608000.0,eye,0.0234297664940611,0.1,1.5,1.2682470717569478e-15,100.0,2.750679435751055,9.685608715247527e-05,0.023422192380255225,0.09,1.9,2.0990228302025767e-18,200.0,3375
46,2.4646639528284564,1.934057416115185,4.327837724316777,19.068664668950543,2.5525789065519384,219.88323378757187,196608000.0,eye,0.0064036670278831,0.1,8.6,1.261808511015901e-20,200.0,2.147372774459264,9.685608715247527e-05,0.0064036670278831,0.1,8.6,1.261808511015901e-20,200.0,45562
47,4.734410619240471,3.4356026983092405,8.850752436133428,20.16909417936381,5.6906247419785885,215.27626336149496,196608000.0,dual_color,0.0088710604184366,0.5,-1.0,1.9820672593012008,200.0,4.237399615092361,9.685608715247527e-05,0.007237235334959929,0.46,-1.0,1.5727879229582653,100.0,36000
48,2.866599742049477,1.8794417092792013,11.378457935998489,122.85527593553182,7.891652037484135,585.7350235632549,196608000.0,single_edge,0.0123836617430959,0.1,0.5,3.943872428373878e-14,0.0,2.866599742049477,9.685608715247527e-05,0.011094902971802878,0.12,0.2,1.1572035622335187e-10,0.0,15187
49,5.535145744993295,3.884731754502948,12.580500033452925,40.15360678110567,6.595925882378502,334.31342221971346,196608000.0,single_edge,0.0097832641724093,0.3,-0.9,0.137933958925891,0.0,5.535145744993295,9.685608715247527e-05,0.007670208632055753,0.3,-0.87,0.12315678334910796,0.0,30375
50,3.341512080740668,2.4111279562547314,6.549327936148892,33.60374510399109,6.724044344101349,225.9795893859348,196608000.0,single_edge,0.0090540846250424,0.3,-0.8,0.0579511876591926,0.0,3.3415120807406677,9.685608715247527e-05,0.00816544615096021,0.26,-0.7,0.011516943129283802,0.0,27000
51,7.332507084360567,6.459989083620316,8.810909563207849,1.0448432521052613,-0.4559415919967888,38.92498176891436,196608000.0,inside_out,0.0226070949381126,20.0,18.0,7.54730689328651,0.0,7.332507084360567,9.685608715247527e-05,0.0226070949381126,20.0,18.0,7.54730689328651,0.0,3796
52,5.278592211937019,4.506606539023848,7.378821174020777,3.182589530074728,0.2437802008045786,74.88671356671152,196608000.0,inside_out,0.021321323109089,6.9,-0.1,9.313267981498855,0.0,5.278592211937019,9.685608715247527e-05,0.021321323109089,6.9,-0.1,9.313267981498855,0.0,4270
53,1.5653685412774074,1.3464741195470842,2.259278518389652,3.8454403213708535,0.4408621354350425,89.1081639258158,196608000.0,inside_out,0.0189069022143109,4.0,-0.7,3.651353799708502,0.0,1.5653685412774074,9.685608715247527e-05,0.0189069022143109,4.0,-0.7,3.651353799708502,0.0,5062
54,4.06922083527171,2.7870216022697574,7.9701746371496895,38.96030284270179,7.206538707757771,283.9658995842387,196608000.0,multi_edge,0.0112252961969283,0.5,-1.1,2.1533042230750468,200.0,3.389797709367561,9.685608715247527e-05,0.00974300804548267,0.4,-1.05,0.834712841782873,100.0,20250
55,2.850806564374326,1.9298176084951708,7.392379976411283,60.50518796456353,6.738746828749274,388.3131812668841,196608000.0,single_edge,0.0092583714082211,0.3,-0.8,0.0434121539398233,50.0,2.6026458558755317,9.685608715247527e-05,0.009082394987808162,0.3,-0.81,0.04671617307330649,25.0,22780
56,6.159066823729277,4.2747815412479895,14.254770017709616,46.95179564523853,7.835599468840223,340.99109755013313,196608000.0,dual_color,0.0124743210412492,0.3,-0.9,0.132039475514234,100.0,6.159066823729277,9.685608715247527e-05,0.008361081793838654,0.27,-0.9,0.0649262470458008,0.0,27000
57,3.1532622329485136,2.098009620224913,10.420430733906324,78.87040882370228,6.205342871838276,457.848369124909,196608000.0,single_edge,0.0072726689989649,0.5,-1.0,1.2134945597575464,200.0,2.519557383158886,9.685608715247527e-05,0.006107789346447845,0.49,-1.0,1.1761706832110561,150.0,48000
58,2.8596056017484406,2.4920200462917284,4.002637494909052,3.6318687765523294,-0.0495675796792041,87.00224006802199,196608000.0,inside_out,0.0208031338635449,1.3,19.0,0.3446225415405174,0.0,2.8596056017484406,9.685608715247527e-05,0.0208031338635449,1.3,19.0,0.3446225415405174,0.0,4500
59,6.993167920862565,5.14763940907697,11.589896707277028,17.092016891453355,4.888673755600432,185.35286742292,196608000.0,dual_color,0.009238922929359,0.4,-0.9,1.0329222842801482,0.0,6.9931679208625654,9.685608715247527e-05,0.008626618757662963,0.34,-0.8,0.2990489019717734,0.0,24000
60,0.8953706362141154,0.6192091160051795,2.9223937450084105,107.2489145942431,6.033080188613094,506.3677956479274,196608000.0,misc,0.007399538926,0.1,1.9,1.1319227231808703e-16,50.0,0.8131919108545101,9.685608715247527e-05,0.0070738689339135685,0.09,2.2,2.686924735382923e-19,25.0,36000
61,2.7025299757469377,1.7763172217974588,5.629499402844805,40.83592692749146,7.271999838180974,295.42848199421223,196608000.0,misc,0.0144094778962716,0.2,-0.3,6.895537978256235e-05,200.0,2.173341008112097,9.685608715247527e-05,0.013895794307288767,0.2,-0.33,7.925602356928212e-05,150.0,9607
62,5.881373592401723,4.117173578524798,9.044042711226655,14.572438286771517,5.92064059816316,114.66652755527224,196608000.0,misc,0.0195379318062648,0.2,-0.4,0.0002280109565291,200.0,5.0949404449172295,9.685608715247527e-05,0.018941968108429963,0.18,-0.3,2.8794202197674815e-05,150.0,5062
63,2.624194787334652,1.733345711704231,7.897571716228732,97.92331964001194,7.245611988667769,481.0184876758274,196608000.0,multi_edge,0.012524253052172,0.3,-0.9,0.0566394094759565,50.0,2.2728803610154826,9.685608715247527e-05,0.011941261532319392,0.31,-0.9,0.07217300812386586,50.0,13500
