sort_column,total_samples,dataset,subset,transform,orientation,channel,group,kstest_stat_best,kstest_stat_cutoff_0.05,pass,beat_all_priors,failure_category,failure_type,github_plot,Notes,Column 1
46,262144000,agriVision,full,gabor,,blue,1,0.001110,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_1.jpg,,
47,262144000,agriVision,full,gabor,,blue,2,0.001531,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_2.jpg,,
48,262144000,agriVision,full,gabor,,blue,3,0.002330,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_3.jpg,,
49,262144000,agriVision,full,gabor,,blue,4,0.002255,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_4.jpg,,
50,262144000,agriVision,full,gabor,,blue,5,0.003789,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_5.jpg,,
51,262144000,agriVision,full,gabor,,blue,6,0.003456,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_6.jpg,,
52,262144000,agriVision,full,gabor,,blue,7,0.001588,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_7.jpg,,
53,262144000,agriVision,full,gabor,,blue,8,0.001950,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_8.jpg,,
54,262144000,agriVision,full,gabor,,blue,9,0.001453,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_9.jpg,,
55,262144000,agriVision,full,gabor,,blue,10,0.001033,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_10.jpg,,
