,total_samples,dataset,subset,transform,orientation,channel,group,kstest_stat_best,kstest_stat_cutoff_0.05,beat_all_priors,failure_category,failure_type,which_ones,github_plot
34,213093688.0,syntheticMRI3D,full,wavelet,add,,8,0.0018734884459293,9.303414483735194e-05,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/add/plots/compare_cdf_pdf_layer_8.jpg
35,0.0,syntheticMRI3D,full,wavelet,dad,,2,,,0,trivial_failure,low samples,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/dad/plots/compare_cdf_pdf_layer_2.jpg
36,564.0,syntheticMRI3D,full,wavelet,dad,,3,0.0180369587354203,0.0568820832907503,1,trivial_failure,low samples,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/dad/plots/compare_cdf_pdf_layer_3.jpg
37,22538.0,syntheticMRI3D,full,wavelet,dad,,4,0.0294684846300457,0.0090389255084191,0,trivial_failure,double inflection,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/dad/plots/compare_cdf_pdf_layer_4.jpg
38,296776.0,syntheticMRI3D,full,wavelet,dad,,5,0.0019331798646739,0.0024924069574146,1,actually_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/dad/plots/compare_cdf_pdf_layer_5.jpg
39,2880648.0,syntheticMRI3D,full,wavelet,dad,,6,0.0052060419386362,0.0008001194016298,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/dad/plots/compare_cdf_pdf_layer_6.jpg
40,25362406.0,syntheticMRI3D,full,wavelet,dad,,7,0.0035123422232911,0.0002696655722402,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/dad/plots/compare_cdf_pdf_layer_7.jpg
41,213093688.0,syntheticMRI3D,full,wavelet,dad,,8,0.0019315750902819,9.303414483735194e-05,1,practically_pass,pass,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/dad/plots/compare_cdf_pdf_layer_8.jpg
42,0.0,syntheticMRI3D,full,wavelet,dda,,2,,,0,trivial_failure,low samples,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/dda/plots/compare_cdf_pdf_layer_2.jpg
43,564.0,syntheticMRI3D,full,wavelet,dda,,3,0.0132152265139611,0.0568820832907503,1,trivial_failure,low samples,,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/syntheticMRI3D/full/wavelet/dda/plots/compare_cdf_pdf_layer_3.jpg
