filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,best_augmented_var,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
10,3963.2007,3963.2007,3758.7756,3634.7754,3446.9294,0.004049647916678,0.0028859563345201,0.0034647675305722,0.0048847840164366,0.0038998899168966594,0.0034668947762043732,3963.2007,0.003173625987509615,0.002697913387225248,0.002812550972554839,0.0020825190616970066,0.0016237848146523487,,
11,1619.248,1619.248,1526.3589,1470.7816,1386.0529,0.0047377948374124,0.004517160689714,0.0040339863835472,0.0056722673240204,0.005056906744219658,0.004816326821790895,1619.248,0.0044431389667226595,0.0040082503304568196,0.004033986383547239,0.0037161380924441503,0.003069468937666589,0.002765019328717866,0.0023742373986238574
12,660.498,660.498,617.83875,593.3582,556.9946,0.0034396173814212,0.0047405984175121,0.0052554724069918,0.0055231247062089,0.004302779990693062,0.0038095699668335703,660.498,0.00374655629039633,0.0031406028844476186,0.0025827943175706913,,,,
13,318.8295,318.8295,294.97647,281.4562,261.3998,0.0025464625937898,0.0044335428478482,0.0042579744376706,0.0052614863191412,0.0040425081766044535,0.003503285693094882,318.8295,0.0029047375758989927,0.0022345995561171735,0.0016467291263184691,,,,
14,39246.88,39246.88,37678.28,36647.06,35003.45,0.0050919869608843,0.0047470124628951,0.0057124323083778,0.0057646798383007,0.005195379781262721,0.004772156611612011,39246.88,0.004627004293815941,0.00461106620962512,0.004048954881817814,0.004036699886422412,0.0031042856312183398,,
15,16343.364,16343.364,15560.725,15074.501,14325.553,0.0035053651688321,0.0047424317534748,0.0056677752632222,0.0064704258858359,0.00454414877918663,0.004279080243616007,16343.364,0.003933781575488182,0.0036582703486823798,0.0029131569311465766,,,,
16,6585.608,6585.608,6268.4053,6071.7373,5765.0234,0.0057934992170259,0.0055187087542947,0.0056330301533381,0.0063785172380879,0.005097701437317359,0.0049296707205042645,6585.608,0.004668509702277945,0.0043450880561994865,0.004342311998766668,0.0036288750465015562,0.003190197431676811,,
17,2765.9795,2765.9795,2614.2356,2522.1826,2381.182,0.0048909207658883,0.0050531134356149,0.0067628226199671,0.0080060987885968,0.005142881007968003,0.004958955645914746,2672.4465,0.004429497378510366,0.0042982268221107844,0.00433135091795972,,,,
18,1208.4543,1208.4543,1134.847,1090.8729,1024.7196,0.007274206342269,0.0088967632401457,0.0088408537248053,0.0088213590857026,0.006107393169314038,0.006076810736018845,1208.4543,0.005828558185317516,0.005551257098324214,0.005290915451237055,,,,
19,449.56696,449.56696,416.73837,398.2585,370.35602,0.00395379782578,0.0056588508888524,0.0055023283512653,0.0071337345725291,0.005315624999739699,0.00477902100147809,,0.0049653523082449635,0.004116387789550181,0.003953797825780092,,,,
20,214.00264,214.00264,197.33641,187.74417,173.4383,0.0029159798239327,0.0039434591035759,0.0041174644274912,0.0059008017778789,0.0038896401924199964,0.0035166327884007427,214.00264,0.003661581015989984,0.002992454985195736,0.0023111728610296645,,,,
21,46745.906,46745.906,44069.25,42372.523,39791.395,0.0034058869070541,0.0025668104304833,0.0049433063590956,0.0041694631342067,0.0032726136273148326,0.003240563024407783,45126.867,0.0025977554722428353,0.002993085690114583,0.002566810430483346,0.0017824160976115389,0.002160953355208217,,
22,18888.965,18888.965,17528.43,16778.277,15687.101,0.0046900409775613,0.004410163371336,0.0053809537243402,0.0056590591690758,0.004100888822320958,0.0035733475479909904,18888.965,0.0036169418884240967,0.003459406034186485,0.002761449717063491,0.002697319513652374,0.0022507847291665106,,
